case_id,defect_type,entity_type,severity,safe_to_auto_apply,defect_description,repair_action,explanation
SC_0045,broken_spatial_containment,IfcStair,high,True,IfcStair 'Stair_040' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Penthouse',Every physical element must be spatially contained for coordination.
SC_0046,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Bathroom' not aggregated into any storey,Aggregate space into storey 'Basement 1',Spaces must belong to a storey for room-based analysis.
SC_0047,geometry_clash,IfcWall,high,False,Bounding-box clash between IfcWall 'Wall_221' and IfcColumn 'Column_918' (overlap 0.22m),Flag clash for manual resolution between Wall_221 and Column_918,IfcWall-IfcColumn intersection detected. Requires design review.
SC_0048,missing_material,IfcPlate,medium,False,IfcPlate has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Steel),Material needed for quantity takeoff and analysis. Suggested: Steel.
SC_0049,naming_inconsistency,IfcMember,low,True,Multiple IfcMember entities share name 'Member_001',Set Name to 'Member_330',"All elements need unique, meaningful names for schedules and coordination."
SC_0050,missing_material,IfcRoof,medium,False,IfcRoof has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Steel),Material needed for quantity takeoff and analysis. Suggested: Steel.
SC_0051,naming_inconsistency,IfcBuildingStorey,medium,True,Multiple IfcBuildingStorey entities share name 'BuildingStorey_001',Set Name to 'BuildingStorey_472',"All elements need unique, meaningful names for schedules and coordination."
SC_0052,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Office' assigned to 'Roof Level' but elevation matches 'Level 05',Reassign space from 'Roof Level' to 'Level 05' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0053,geometry_clash,IfcWall,high,False,Bounding-box clash between IfcWall 'Wall_055' and IfcColumn 'Column_570' (overlap 0.13m),Flag clash for manual resolution between Wall_055 and Column_570,IfcWall-IfcColumn intersection detected. Requires design review.
SC_0054,naming_inconsistency,IfcRamp,low,True,IfcRamp has empty Name attribute,Set Name to 'Ramp_083',"All elements need unique, meaningful names for schedules and coordination."
SC_0055,missing_material,IfcFooting,medium,False,IfcFooting has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Brick),Material needed for quantity takeoff and analysis. Suggested: Brick.
SC_0056,missing_property,IfcSlab,low,True,IfcSlab is missing 'AcousticRating' in Pset_SlabCommon,Add property 'AcousticRating' with default value to Pset_SlabCommon,AcousticRating is required by IFC schema for IfcSlab. A safe default is applied.
SC_0057,broken_spatial_containment,IfcBeam,high,True,IfcBeam 'Beam_374' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Ground Floor',Every physical element must be spatially contained for coordination.
SC_0058,naming_inconsistency,IfcPile,low,True,IfcPile has None Name attribute,Set Name to 'Pile_308',"All elements need unique, meaningful names for schedules and coordination."
SC_0059,missing_property,IfcCurtainWall,low,True,IfcCurtainWall is missing 'ThermalTransmittance' in Pset_CurtainWallCommon,Add property 'ThermalTransmittance' with default value to Pset_CurtainWallCommon,ThermalTransmittance is required by IFC schema for IfcCurtainWall. A safe default is applied.
SC_0060,missing_property,IfcRamp,low,True,IfcRamp is missing 'HandicapAccessible' in Pset_RampCommon,Add property 'HandicapAccessible' with default value to Pset_RampCommon,HandicapAccessible is required by IFC schema for IfcRamp. A safe default is applied.
SC_0061,invalid_reference,IfcBeam,low,True,IfcBeam has OwnerHistory pointing to deleted entity,Reassign OwnerHistory to project default,Broken OwnerHistory causes export failures.
SC_0062,missing_material,IfcColumn,medium,False,IfcColumn has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Aluminium),Material needed for quantity takeoff and analysis. Suggested: Aluminium.
SC_0063,broken_spatial_containment,IfcRailing,high,True,IfcRailing 'Railing_659' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 03',Every physical element must be spatially contained for coordination.
SC_0064,naming_inconsistency,IfcPlate,low,True,Multiple IfcPlate entities share name 'Plate_001',Set Name to 'Plate_742',"All elements need unique, meaningful names for schedules and coordination."
SC_0065,naming_inconsistency,IfcSlab,low,True,IfcSlab has empty Name attribute,Set Name to 'Slab_898',"All elements need unique, meaningful names for schedules and coordination."
SC_0066,broken_spatial_containment,IfcCurtainWall,high,True,IfcCurtainWall 'CurtainWall_568' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 02',Every physical element must be spatially contained for coordination.
SC_0067,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Lobby' not aggregated into any storey,Aggregate space into storey 'Level 02',Spaces must belong to a storey for room-based analysis.
SC_0068,missing_property,IfcDoor,low,True,IfcDoor is missing 'AcousticRating' in Pset_DoorCommon,Add property 'AcousticRating' with default value to Pset_DoorCommon,AcousticRating is required by IFC schema for IfcDoor. A safe default is applied.
SC_0069,missing_property,IfcWindow,low,True,IfcWindow is missing 'AcousticRating' in Pset_WindowCommon,Add property 'AcousticRating' with default value to Pset_WindowCommon,AcousticRating is required by IFC schema for IfcWindow. A safe default is applied.
SC_0070,broken_spatial_containment,IfcColumn,high,True,IfcColumn 'Column_135' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 03',Every physical element must be spatially contained for coordination.
SC_0071,broken_spatial_containment,IfcCurtainWall,high,True,IfcCurtainWall 'CurtainWall_165' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Basement 2',Every physical element must be spatially contained for coordination.
SC_0072,naming_inconsistency,IfcPile,low,True,Multiple IfcPile entities share name 'Pile_001',Set Name to 'Pile_427',"All elements need unique, meaningful names for schedules and coordination."
SC_0073,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Meeting Room' assigned to 'Level 03' but elevation matches 'Ground Floor',Reassign space from 'Level 03' to 'Ground Floor' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0074,invalid_reference,IfcWindow,medium,False,IfcWindow references a IfcWindowType that does not exist in the model,Remove broken type reference or create missing IfcWindowType,Orphan type references break downstream tools.
SC_0075,naming_inconsistency,IfcRoof,low,True,Multiple IfcRoof entities share name 'Roof_001',Set Name to 'Roof_590',"All elements need unique, meaningful names for schedules and coordination."
SC_0076,missing_property,IfcWindow,low,True,IfcWindow is missing 'Reference' in Pset_WindowCommon,Add property 'Reference' with default value to Pset_WindowCommon,Reference is required by IFC schema for IfcWindow. A safe default is applied.
SC_0077,naming_inconsistency,IfcWall,low,True,IfcWall has None Name attribute,Set Name to 'Wall_039',"All elements need unique, meaningful names for schedules and coordination."
SC_0078,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Storage' not aggregated into any storey,Aggregate space into storey 'Ground Floor',Spaces must belong to a storey for room-based analysis.
SC_0079,naming_inconsistency,IfcColumn,low,True,Multiple IfcColumn entities share name 'Column_001',Set Name to 'Column_935',"All elements need unique, meaningful names for schedules and coordination."
SC_0080,naming_inconsistency,IfcStair,low,True,Multiple IfcStair entities share name 'Stair_001',Set Name to 'Stair_431',"All elements need unique, meaningful names for schedules and coordination."
SC_0081,broken_spatial_containment,IfcStair,high,True,IfcStair 'Stair_963' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Ground Floor',Every physical element must be spatially contained for coordination.
SC_0082,missing_property,IfcBeam,low,True,IfcBeam is missing 'Reference' in Pset_BeamCommon,Add property 'Reference' with default value to Pset_BeamCommon,Reference is required by IFC schema for IfcBeam. A safe default is applied.
SC_0083,missing_property,IfcFooting,high,True,IfcFooting is missing 'LoadBearing' in Pset_FootingCommon,Add property 'LoadBearing' with default value to Pset_FootingCommon,LoadBearing is required by IFC schema for IfcFooting. A safe default is applied.
SC_0084,broken_spatial_containment,IfcWall,high,True,IfcWall 'Wall_476' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Basement 1',Every physical element must be spatially contained for coordination.
SC_0085,invalid_reference,IfcColumn,medium,False,IfcColumn references a IfcColumnType that does not exist in the model,Remove broken type reference or create missing IfcColumnType,Orphan type references break downstream tools.
SC_0086,missing_property,IfcRoof,low,True,IfcRoof is missing 'ThermalTransmittance' in Pset_RoofCommon,Add property 'ThermalTransmittance' with default value to Pset_RoofCommon,ThermalTransmittance is required by IFC schema for IfcRoof. A safe default is applied.
SC_0087,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Parking' not aggregated into any storey,Aggregate space into storey 'Basement 2',Spaces must belong to a storey for room-based analysis.
SC_0088,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Reception' not aggregated into any storey,Aggregate space into storey 'Level 05',Spaces must belong to a storey for room-based analysis.
SC_0089,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Office' not aggregated into any storey,Aggregate space into storey 'Level 05',Spaces must belong to a storey for room-based analysis.
SC_0090,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Corridor' not aggregated into any storey,Aggregate space into storey 'Mezzanine',Spaces must belong to a storey for room-based analysis.
SC_0091,missing_property,IfcWall,medium,True,IfcWall is missing 'FireRating' in Pset_WallCommon,Add property 'FireRating' with default value to Pset_WallCommon,FireRating is required by IFC schema for IfcWall. A safe default is applied.
SC_0092,naming_inconsistency,IfcRailing,low,True,IfcRailing has empty Name attribute,Set Name to 'Railing_844',"All elements need unique, meaningful names for schedules and coordination."
SC_0093,naming_inconsistency,IfcColumn,low,True,IfcColumn has None Name attribute,Set Name to 'Column_137',"All elements need unique, meaningful names for schedules and coordination."
SC_0094,disconnected_storey,IfcBuildingStorey,critical,True,IfcBuildingStorey 'Basement 2' not aggregated into any IfcBuilding,Create IfcRelAggregates linking storey to building,Storeys must be children of a building in the spatial hierarchy.
SC_0095,naming_inconsistency,IfcSlab,low,True,IfcSlab has None Name attribute,Set Name to 'Slab_466',"All elements need unique, meaningful names for schedules and coordination."
SC_0096,broken_spatial_containment,IfcRailing,high,True,IfcRailing 'Railing_811' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Penthouse',Every physical element must be spatially contained for coordination.
SC_0097,missing_property,IfcDoor,low,True,IfcDoor is missing 'SelfClosing' in Pset_DoorCommon,Add property 'SelfClosing' with default value to Pset_DoorCommon,SelfClosing is required by IFC schema for IfcDoor. A safe default is applied.
SC_0098,naming_inconsistency,IfcRoof,low,True,IfcRoof has None Name attribute,Set Name to 'Roof_885',"All elements need unique, meaningful names for schedules and coordination."
SC_0099,missing_property,IfcDoor,medium,True,IfcDoor is missing 'FireRating' in Pset_DoorCommon,Add property 'FireRating' with default value to Pset_DoorCommon,FireRating is required by IFC schema for IfcDoor. A safe default is applied.
SC_0100,missing_property,IfcStair,medium,True,IfcStair is missing 'FireRating' in Pset_StairCommon,Add property 'FireRating' with default value to Pset_StairCommon,FireRating is required by IFC schema for IfcStair. A safe default is applied.
SC_0101,missing_material,IfcCurtainWall,medium,False,IfcCurtainWall has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Composite),Material needed for quantity takeoff and analysis. Suggested: Composite.
SC_0102,missing_material,IfcCurtainWall,medium,False,IfcCurtainWall has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Concrete),Material needed for quantity takeoff and analysis. Suggested: Concrete.
SC_0103,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Stairwell' not aggregated into any storey,Aggregate space into storey 'Roof Level',Spaces must belong to a storey for room-based analysis.
SC_0104,invalid_reference,IfcWall,medium,False,IfcWall references a IfcWallType that does not exist in the model,Remove broken type reference or create missing IfcWallType,Orphan type references break downstream tools.
SC_0105,broken_spatial_containment,IfcWall,high,True,IfcWall 'Wall_982' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 03',Every physical element must be spatially contained for coordination.
SC_0106,wrong_level_assignment,IfcColumn,medium,False,IfcColumn 'Column_524' at z=21.0m assigned to 'Roof Level' instead of 'Level 05',Reassign from 'Roof Level' to 'Level 05',Element placement doesn't match assigned storey elevation.
SC_0107,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Plant Room' not aggregated into any storey,Aggregate space into storey 'Level 04',Spaces must belong to a storey for room-based analysis.
SC_0108,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Loading Dock' assigned to 'Penthouse' but elevation matches 'Level 01',Reassign space from 'Penthouse' to 'Level 01' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0109,broken_spatial_containment,IfcWindow,high,True,IfcWindow 'Window_680' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 04',Every physical element must be spatially contained for coordination.
SC_0110,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Lobby' assigned to 'Ground Floor' but elevation matches 'Level 05',Reassign space from 'Ground Floor' to 'Level 05' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0111,disconnected_storey,IfcBuildingStorey,critical,True,IfcBuildingStorey 'Level 01' not aggregated into any IfcBuilding,Create IfcRelAggregates linking storey to building,Storeys must be children of a building in the spatial hierarchy.
SC_0112,broken_spatial_containment,IfcDoor,high,True,IfcDoor 'Door_537' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 03',Every physical element must be spatially contained for coordination.
SC_0113,wrong_level_assignment,IfcWall,medium,False,IfcWall 'Wall_662' at z=18.0m assigned to 'Mezzanine' instead of 'Level 04',Reassign from 'Mezzanine' to 'Level 04',Element placement doesn't match assigned storey elevation.
SC_0114,geometry_clash,IfcWall,medium,False,Bounding-box clash between IfcWall 'Wall_350' and IfcBeam 'Beam_894' (overlap 0.12m),Flag clash for manual resolution between Wall_350 and Beam_894,IfcWall-IfcBeam intersection detected. Requires design review.
SC_0115,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Kitchen' assigned to 'Level 02' but elevation matches 'Roof Level',Reassign space from 'Level 02' to 'Roof Level' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0116,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Bathroom' assigned to 'Basement 1' but elevation matches 'Level 01',Reassign space from 'Basement 1' to 'Level 01' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0117,missing_property,IfcRamp,low,True,IfcRamp is missing 'Reference' in Pset_RampCommon,Add property 'Reference' with default value to Pset_RampCommon,Reference is required by IFC schema for IfcRamp. A safe default is applied.
SC_0118,missing_material,IfcBeam,medium,False,IfcBeam has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Concrete),Material needed for quantity takeoff and analysis. Suggested: Concrete.
SC_0119,geometry_clash,IfcWall,medium,False,Bounding-box clash between IfcWall 'Wall_420' and IfcBeam 'Beam_935' (overlap 0.21m),Flag clash for manual resolution between Wall_420 and Beam_935,IfcWall-IfcBeam intersection detected. Requires design review.
SC_0120,invalid_reference,IfcWall,low,True,IfcWall has OwnerHistory pointing to deleted entity,Reassign OwnerHistory to project default,Broken OwnerHistory causes export failures.
SC_0121,wrong_level_assignment,IfcWindow,medium,False,IfcWindow 'Window_013' at z=6.0m assigned to 'Level 01' instead of 'Ground Floor',Reassign from 'Level 01' to 'Ground Floor',Element placement doesn't match assigned storey elevation.
SC_0122,naming_inconsistency,IfcStair,low,True,IfcStair has empty Name attribute,Set Name to 'Stair_066',"All elements need unique, meaningful names for schedules and coordination."
SC_0123,missing_property,IfcCurtainWall,medium,True,IfcCurtainWall is missing 'FireRating' in Pset_CurtainWallCommon,Add property 'FireRating' with default value to Pset_CurtainWallCommon,FireRating is required by IFC schema for IfcCurtainWall. A safe default is applied.
SC_0124,wrong_level_assignment,IfcDoor,medium,False,IfcDoor 'Door_285' at z=27.0m assigned to 'Penthouse' instead of 'Roof Level',Reassign from 'Penthouse' to 'Roof Level',Element placement doesn't match assigned storey elevation.
SC_0125,missing_property,IfcStair,low,True,IfcStair is missing 'HandicapAccessible' in Pset_StairCommon,Add property 'HandicapAccessible' with default value to Pset_StairCommon,HandicapAccessible is required by IFC schema for IfcStair. A safe default is applied.
SC_0126,broken_spatial_containment,IfcColumn,high,True,IfcColumn 'Column_553' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Mezzanine',Every physical element must be spatially contained for coordination.
SC_0127,missing_property,IfcCurtainWall,low,True,IfcCurtainWall is missing 'AcousticRating' in Pset_CurtainWallCommon,Add property 'AcousticRating' with default value to Pset_CurtainWallCommon,AcousticRating is required by IFC schema for IfcCurtainWall. A safe default is applied.
SC_0128,naming_inconsistency,IfcBuildingStorey,medium,True,IfcBuildingStorey has empty Name attribute,Set Name to 'BuildingStorey_201',"All elements need unique, meaningful names for schedules and coordination."
SC_0129,invalid_reference,IfcWindow,low,True,IfcWindow has OwnerHistory pointing to deleted entity,Reassign OwnerHistory to project default,Broken OwnerHistory causes export failures.
SC_0130,naming_inconsistency,IfcPlate,low,True,IfcPlate has None Name attribute,Set Name to 'Plate_387',"All elements need unique, meaningful names for schedules and coordination."
SC_0131,disconnected_storey,IfcBuildingStorey,critical,True,IfcBuildingStorey 'Basement 1' not aggregated into any IfcBuilding,Create IfcRelAggregates linking storey to building,Storeys must be children of a building in the spatial hierarchy.
SC_0132,missing_property,IfcBeam,low,True,IfcBeam is missing 'Span' in Pset_BeamCommon,Add property 'Span' with default value to Pset_BeamCommon,Span is required by IFC schema for IfcBeam. A safe default is applied.
SC_0133,geometry_clash,IfcColumn,high,False,Bounding-box clash between IfcColumn 'Column_400' and IfcColumn 'Column_735' (overlap 0.12m),Flag clash for manual resolution between Column_400 and Column_735,IfcColumn-IfcColumn intersection detected. Requires design review.
SC_0134,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Plant Room' not aggregated into any storey,Aggregate space into storey 'Level 03',Spaces must belong to a storey for room-based analysis.
SC_0135,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Mechanical Room' not aggregated into any storey,Aggregate space into storey 'Level 02',Spaces must belong to a storey for room-based analysis.
SC_0136,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Storage' assigned to 'Mezzanine' but elevation matches 'Ground Floor',Reassign space from 'Mezzanine' to 'Ground Floor' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0137,broken_spatial_containment,IfcWindow,high,True,IfcWindow 'Window_131' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Penthouse',Every physical element must be spatially contained for coordination.
SC_0138,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Loading Dock' not aggregated into any storey,Aggregate space into storey 'Level 01',Spaces must belong to a storey for room-based analysis.
SC_0139,missing_property,IfcWindow,low,True,IfcWindow is missing 'SmokeStop' in Pset_WindowCommon,Add property 'SmokeStop' with default value to Pset_WindowCommon,SmokeStop is required by IFC schema for IfcWindow. A safe default is applied.
SC_0140,disconnected_storey,IfcBuildingStorey,critical,True,IfcBuildingStorey 'Level 02' not aggregated into any IfcBuilding,Create IfcRelAggregates linking storey to building,Storeys must be children of a building in the spatial hierarchy.
