case_id,split,defect_type,entity_type,severity,safe_to_auto_apply,defect_description,repair_action,explanation
SC_0028,train,broken_spatial_containment,IfcColumn,high,True,IfcColumn 'Column_019' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Penthouse',Every physical element must be spatially contained for coordination.
SC_0029,train,geometry_clash,IfcPipeSegment,medium,True,Near-miss clash between IfcPipeSegment 'PipeSegment_707' and IfcWall 'Wall_119' (overlap 0.04m),Enlarge wall opening for pipe clearance (expanded by 50mm),Pipe lacks sufficient clearance. Opening expanded by 50mm.
SC_0030,train,geometry_clash,IfcPipeSegment,medium,True,Near-miss clash between IfcPipeSegment 'PipeSegment_979' and IfcWall 'Wall_637' (overlap 0.03m),Enlarge wall opening for pipe clearance (expanded by 50mm),Pipe lacks sufficient clearance. Opening expanded by 50mm.
SC_0031,train,geometry_clash,IfcSpace,high,True,Overlap clash between IfcSpace 'Space_515' and IfcSpace 'Space_585' (overlap 0.65m),Resolve space boundary overlap (split at x=7.50),Spaces share overlapping volume. Splitting along centerline.
SC_0032,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Lobby' assigned to 'Ground Floor' but elevation matches 'Level 05',Reassign space from 'Ground Floor' to 'Level 05' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0033,train,geometry_clash,IfcPipeSegment,medium,True,Near-miss clash between IfcPipeSegment 'PipeSegment_321' and IfcWall 'Wall_650' (overlap 0.02m),Enlarge wall opening for pipe clearance (expanded by 50mm),Pipe lacks sufficient clearance. Opening expanded by 50mm.
SC_0034,train,missing_material,IfcFooting,medium,False,IfcFooting has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Stone),Material needed for quantity takeoff and analysis. Suggested: Stone.
SC_0035,train,geometry_clash,IfcWall,critical,True,Hard clash between IfcWall 'Wall_681' and IfcColumn 'Column_364' (overlap 0.39m),Adjust wall length to abut column face (adjusted length by -0.39m),Wall should stop at structural column face. Shortening wall geometry.
SC_0036,train,geometry_clash,IfcBeam,medium,False,Soft clash between IfcBeam 'Beam_710' and IfcSlab 'Slab_070' (overlap 0.03m),Adjust beam elevation to sit below slab (dropped by 0.03m),Beam soffit intrudes slab. Elevation drop required.
SC_0037,train,naming_inconsistency,IfcWindow,low,True,IfcWindow has empty Name attribute,Set Name to 'Window_268',"All elements need unique, meaningful names for schedules and coordination."
SC_0038,train,missing_material,IfcColumn,medium,False,IfcColumn has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Composite),Material needed for quantity takeoff and analysis. Suggested: Composite.
SC_0039,train,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Bathroom' not aggregated into any storey,Aggregate space into storey 'Level 01',Spaces must belong to a storey for room-based analysis.
SC_0040,train,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Elevator Shaft' not aggregated into any storey,Aggregate space into storey 'Basement 2',Spaces must belong to a storey for room-based analysis.
SC_0041,train,missing_material,IfcWall,medium,False,IfcWall has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Stone),Material needed for quantity takeoff and analysis. Suggested: Stone.
SC_0042,train,broken_spatial_containment,IfcCurtainWall,high,True,IfcCurtainWall 'CurtainWall_228' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 05',Every physical element must be spatially contained for coordination.
SC_0043,train,geometry_clash,IfcWall,high,False,Overlap clash between IfcWall 'Wall_003' and IfcColumn 'Column_890' (overlap 0.41m),Flag for structural review,Major overlap detected between wall and column. Needs engineer review.
SC_0044,train,naming_inconsistency,IfcRamp,low,True,IfcRamp has empty Name attribute,Set Name to 'Ramp_083',"All elements need unique, meaningful names for schedules and coordination."
SC_0045,train,missing_property,IfcWall,low,True,IfcWall is missing 'Combustible' in Pset_WallCommon,Add property 'Combustible' with default value to Pset_WallCommon,Combustible is required by IFC schema for IfcWall. A safe default is applied.
SC_0046,train,disconnected_storey,IfcBuildingStorey,critical,True,IfcBuildingStorey 'Mezzanine' not aggregated into any IfcBuilding,Create IfcRelAggregates linking storey to building,Storeys must be children of a building in the spatial hierarchy.
SC_0047,train,wrong_level_assignment,IfcDoor,medium,False,IfcDoor 'Door_599' at z=6.0m assigned to 'Level 01' instead of 'Ground Floor',Reassign from 'Level 01' to 'Ground Floor',Element placement doesn't match assigned storey elevation.
SC_0048,train,missing_material,IfcColumn,medium,False,IfcColumn has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Aluminium),Material needed for quantity takeoff and analysis. Suggested: Aluminium.
SC_0049,train,geometry_clash,IfcSpace,high,True,Overlap clash between IfcSpace 'Space_996' and IfcSpace 'Space_217' (overlap 0.8m),Resolve space boundary overlap (split at x=14.26),Spaces share overlapping volume. Splitting along centerline.
SC_0050,train,missing_property,IfcDoor,low,True,IfcDoor is missing 'SmokeStop' in Pset_DoorCommon,Add property 'SmokeStop' with default value to Pset_DoorCommon,SmokeStop is required by IFC schema for IfcDoor. A safe default is applied.
SC_0051,train,broken_spatial_containment,IfcWindow,high,True,IfcWindow 'Window_610' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 02',Every physical element must be spatially contained for coordination.
SC_0052,train,geometry_clash,IfcDuctSegment,critical,False,Hard clash between IfcDuctSegment 'DuctSegment_154' and IfcBeam 'Beam_530' (overlap 0.3m),Reroute duct below structural beam,MEP element clashes with structural frame. Needs rerouting.
SC_0053,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Server Room' assigned to 'Level 04' but elevation matches 'Basement 2',Reassign space from 'Level 04' to 'Basement 2' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0054,train,missing_material,IfcCurtainWall,medium,False,IfcCurtainWall has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Composite),Material needed for quantity takeoff and analysis. Suggested: Composite.
SC_0055,train,geometry_clash,IfcWall,medium,True,Misaligned clash between IfcWall 'Wall_382' and IfcDoor 'Door_703' (overlap 0.21m),Align door frame with wall opening (snapped +0.21m),Door geometry extends beyond wall thickness. Snapping to opening plane.
SC_0056,train,disconnected_storey,IfcBuildingStorey,critical,True,IfcBuildingStorey 'Basement 1' not aggregated into any IfcBuilding,Create IfcRelAggregates linking storey to building,Storeys must be children of a building in the spatial hierarchy.
SC_0057,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Bathroom' assigned to 'Roof Level' but elevation matches 'Basement 1',Reassign space from 'Roof Level' to 'Basement 1' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0058,train,geometry_clash,IfcBeam,medium,False,Soft clash between IfcBeam 'Beam_172' and IfcSlab 'Slab_652' (overlap 0.03m),Adjust beam elevation to sit below slab (dropped by 0.03m),Beam soffit intrudes slab. Elevation drop required.
SC_0059,train,geometry_clash,IfcSpace,high,True,Overlap clash between IfcSpace 'Space_841' and IfcSpace 'Space_058' (overlap 0.71m),Resolve space boundary overlap (split at x=2.98),Spaces share overlapping volume. Splitting along centerline.
SC_0060,train,geometry_clash,IfcPipeSegment,medium,True,Near-miss clash between IfcPipeSegment 'PipeSegment_303' and IfcWall 'Wall_165' (overlap 0.01m),Enlarge wall opening for pipe clearance (expanded by 50mm),Pipe lacks sufficient clearance. Opening expanded by 50mm.
SC_0061,train,missing_material,IfcPlate,medium,False,IfcPlate has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Glass),Material needed for quantity takeoff and analysis. Suggested: Glass.
SC_0062,train,geometry_clash,IfcSpace,high,True,Overlap clash between IfcSpace 'Space_379' and IfcSpace 'Space_192' (overlap 0.24m),Resolve space boundary overlap (split at x=-2.81),Spaces share overlapping volume. Splitting along centerline.
SC_0063,train,naming_inconsistency,IfcRamp,low,True,IfcRamp has None Name attribute,Set Name to 'Ramp_183',"All elements need unique, meaningful names for schedules and coordination."
SC_0064,train,geometry_clash,IfcWall,critical,True,Hard clash between IfcWall 'Wall_443' and IfcColumn 'Column_406' (overlap 0.31m),Adjust wall length to abut column face (adjusted length by -0.31m),Wall should stop at structural column face. Shortening wall geometry.
SC_0065,train,missing_property,IfcWall,high,True,IfcWall is missing 'LoadBearing' in Pset_WallCommon,Add property 'LoadBearing' with default value to Pset_WallCommon,LoadBearing is required by IFC schema for IfcWall. A safe default is applied.
SC_0066,train,naming_inconsistency,IfcColumn,low,True,IfcColumn has empty Name attribute,Set Name to 'Column_707',"All elements need unique, meaningful names for schedules and coordination."
SC_0067,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Meeting Room' assigned to 'Level 03' but elevation matches 'Ground Floor',Reassign space from 'Level 03' to 'Ground Floor' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0068,train,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Bathroom' not aggregated into any storey,Aggregate space into storey 'Basement 1',Spaces must belong to a storey for room-based analysis.
SC_0069,train,geometry_clash,IfcWall,critical,True,Hard clash between IfcWall 'Wall_753' and IfcColumn 'Column_712' (overlap 0.34m),Adjust wall length to abut column face (adjusted length by -0.34m),Wall should stop at structural column face. Shortening wall geometry.
SC_0070,train,geometry_clash,IfcWall,critical,True,Hard clash between IfcWall 'Wall_110' and IfcColumn 'Column_139' (overlap 0.2m),Adjust wall length to abut column face (adjusted length by -0.2m),Wall should stop at structural column face. Shortening wall geometry.
SC_0071,train,geometry_clash,IfcSpace,high,True,Overlap clash between IfcSpace 'Space_777' and IfcSpace 'Space_988' (overlap 0.52m),Resolve space boundary overlap (split at x=-2.59),Spaces share overlapping volume. Splitting along centerline.
SC_0072,train,missing_property,IfcWall,low,True,IfcWall is missing 'ThermalTransmittance' in Pset_WallCommon,Add property 'ThermalTransmittance' with default value to Pset_WallCommon,ThermalTransmittance is required by IFC schema for IfcWall. A safe default is applied.
SC_0073,train,geometry_clash,IfcBeam,medium,False,Soft clash between IfcBeam 'Beam_207' and IfcSlab 'Slab_826' (overlap 0.01m),Adjust beam elevation to sit below slab (dropped by 0.01m),Beam soffit intrudes slab. Elevation drop required.
SC_0074,train,missing_property,IfcDoor,low,True,IfcDoor is missing 'HandicapAccessible' in Pset_DoorCommon,Add property 'HandicapAccessible' with default value to Pset_DoorCommon,HandicapAccessible is required by IFC schema for IfcDoor. A safe default is applied.
SC_0075,train,invalid_reference,IfcDoor,medium,False,IfcDoor references a IfcDoorType that does not exist in the model,Remove broken type reference or create missing IfcDoorType,Orphan type references break downstream tools.
SC_0076,train,naming_inconsistency,IfcBuildingStorey,medium,True,IfcBuildingStorey has None Name attribute,Set Name to 'BuildingStorey_702',"All elements need unique, meaningful names for schedules and coordination."
SC_0077,train,geometry_clash,IfcSpace,high,True,Overlap clash between IfcSpace 'Space_265' and IfcSpace 'Space_328' (overlap 0.4m),Resolve space boundary overlap (split at x=3.04),Spaces share overlapping volume. Splitting along centerline.
SC_0078,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Loading Dock' assigned to 'Penthouse' but elevation matches 'Level 01',Reassign space from 'Penthouse' to 'Level 01' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0079,train,naming_inconsistency,IfcSpace,medium,True,IfcSpace has None Name attribute,Set Name to 'Space_328',"All elements need unique, meaningful names for schedules and coordination."
SC_0080,train,missing_property,IfcDoor,low,True,IfcDoor is missing 'SelfClosing' in Pset_DoorCommon,Add property 'SelfClosing' with default value to Pset_DoorCommon,SelfClosing is required by IFC schema for IfcDoor. A safe default is applied.
SC_0081,train,geometry_clash,IfcDuctSegment,critical,False,Hard clash between IfcDuctSegment 'DuctSegment_352' and IfcBeam 'Beam_744' (overlap 0.21m),Reroute duct below structural beam,MEP element clashes with structural frame. Needs rerouting.
SC_0082,train,missing_property,IfcSlab,low,True,IfcSlab is missing 'ThermalTransmittance' in Pset_SlabCommon,Add property 'ThermalTransmittance' with default value to Pset_SlabCommon,ThermalTransmittance is required by IFC schema for IfcSlab. A safe default is applied.
SC_0083,train,geometry_clash,IfcWall,critical,True,Hard clash between IfcWall 'Wall_205' and IfcColumn 'Column_607' (overlap 0.38m),Adjust wall length to abut column face (adjusted length by -0.38m),Wall should stop at structural column face. Shortening wall geometry.
SC_0084,train,missing_property,IfcStair,medium,True,IfcStair is missing 'FireRating' in Pset_StairCommon,Add property 'FireRating' with default value to Pset_StairCommon,FireRating is required by IFC schema for IfcStair. A safe default is applied.
SC_0085,train,missing_property,IfcCurtainWall,low,True,IfcCurtainWall is missing 'AcousticRating' in Pset_CurtainWallCommon,Add property 'AcousticRating' with default value to Pset_CurtainWallCommon,AcousticRating is required by IFC schema for IfcCurtainWall. A safe default is applied.
SC_0086,train,geometry_clash,IfcWall,high,False,Overlap clash between IfcWall 'Wall_941' and IfcColumn 'Column_630' (overlap 0.42m),Flag for structural review,Major overlap detected between wall and column. Needs engineer review.
SC_0087,train,geometry_clash,IfcPipeSegment,medium,True,Near-miss clash between IfcPipeSegment 'PipeSegment_468' and IfcWall 'Wall_304' (overlap 0.02m),Enlarge wall opening for pipe clearance (expanded by 50mm),Pipe lacks sufficient clearance. Opening expanded by 50mm.
SC_0088,train,broken_spatial_containment,IfcSlab,high,True,IfcSlab 'Slab_079' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 03',Every physical element must be spatially contained for coordination.
SC_0089,train,broken_spatial_containment,IfcRamp,high,True,IfcRamp 'Ramp_247' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Roof Level',Every physical element must be spatially contained for coordination.
SC_0090,train,naming_inconsistency,IfcSlab,low,True,Multiple IfcSlab entities share name 'Slab_001',Set Name to 'Slab_480',"All elements need unique, meaningful names for schedules and coordination."
SC_0091,train,geometry_clash,IfcBeam,medium,False,Soft clash between IfcBeam 'Beam_331' and IfcSlab 'Slab_140' (overlap 0.02m),Adjust beam elevation to sit below slab (dropped by 0.02m),Beam soffit intrudes slab. Elevation drop required.
SC_0092,train,broken_spatial_containment,IfcColumn,high,True,IfcColumn 'Column_553' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Mezzanine',Every physical element must be spatially contained for coordination.
SC_0093,train,naming_inconsistency,IfcBeam,low,True,IfcBeam has None Name attribute,Set Name to 'Beam_940',"All elements need unique, meaningful names for schedules and coordination."
SC_0094,train,geometry_clash,IfcBeam,medium,False,Soft clash between IfcBeam 'Beam_090' and IfcSlab 'Slab_302' (overlap 0.04m),Adjust beam elevation to sit below slab (dropped by 0.04m),Beam soffit intrudes slab. Elevation drop required.
SC_0095,train,wrong_level_assignment,IfcWindow,medium,False,IfcWindow 'Window_685' at z=0.0m assigned to 'Basement 1' instead of 'Basement 2',Reassign from 'Basement 1' to 'Basement 2',Element placement doesn't match assigned storey elevation.
SC_0096,train,geometry_clash,IfcSlab,critical,True,Hard clash between IfcSlab 'Slab_060' and IfcColumn 'Column_251' (overlap 0.32m),Create slab void around column profile (void size: 2.0x4.72m),Slab must flow around structural columns. Void geometry generated.
SC_0097,train,geometry_clash,IfcWall,high,False,Overlap clash between IfcWall 'Wall_648' and IfcColumn 'Column_439' (overlap 0.41m),Flag for structural review,Major overlap detected between wall and column. Needs engineer review.
SC_0098,train,broken_spatial_containment,IfcDoor,high,True,IfcDoor 'Door_537' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 03',Every physical element must be spatially contained for coordination.
SC_0099,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Corridor' assigned to 'Level 05' but elevation matches 'Ground Floor',Reassign space from 'Level 05' to 'Ground Floor' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0100,train,broken_spatial_containment,IfcStair,high,True,IfcStair 'Stair_460' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 03',Every physical element must be spatially contained for coordination.
SC_0101,train,missing_material,IfcCurtainWall,medium,False,IfcCurtainWall has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Glass),Material needed for quantity takeoff and analysis. Suggested: Glass.
SC_0102,train,geometry_clash,IfcDuctSegment,critical,False,Hard clash between IfcDuctSegment 'DuctSegment_267' and IfcBeam 'Beam_600' (overlap 0.38m),Reroute duct below structural beam,MEP element clashes with structural frame. Needs rerouting.
SC_0103,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Office' assigned to 'Level 03' but elevation matches 'Mezzanine',Reassign space from 'Level 03' to 'Mezzanine' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0104,train,geometry_clash,IfcBeam,medium,False,Soft clash between IfcBeam 'Beam_944' and IfcSlab 'Slab_829' (overlap 0.04m),Adjust beam elevation to sit below slab (dropped by 0.04m),Beam soffit intrudes slab. Elevation drop required.
SC_0105,train,missing_property,IfcWindow,low,True,IfcWindow is missing 'Reference' in Pset_WindowCommon,Add property 'Reference' with default value to Pset_WindowCommon,Reference is required by IFC schema for IfcWindow. A safe default is applied.
SC_0106,train,wrong_level_assignment,IfcWindow,medium,False,IfcWindow 'Window_426' at z=24.0m assigned to 'Roof Level' instead of 'Mezzanine',Reassign from 'Roof Level' to 'Mezzanine',Element placement doesn't match assigned storey elevation.
SC_0107,train,missing_material,IfcWall,medium,False,IfcWall has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Concrete),Material needed for quantity takeoff and analysis. Suggested: Concrete.
SC_0108,train,geometry_clash,IfcPipeSegment,medium,True,Near-miss clash between IfcPipeSegment 'PipeSegment_121' and IfcWall 'Wall_290' (overlap 0.03m),Enlarge wall opening for pipe clearance (expanded by 50mm),Pipe lacks sufficient clearance. Opening expanded by 50mm.
SC_0109,train,broken_spatial_containment,IfcDoor,high,True,IfcDoor 'Door_514' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Penthouse',Every physical element must be spatially contained for coordination.
SC_0110,train,geometry_clash,IfcDuctSegment,critical,False,Hard clash between IfcDuctSegment 'DuctSegment_875' and IfcBeam 'Beam_586' (overlap 0.3m),Reroute duct below structural beam,MEP element clashes with structural frame. Needs rerouting.
SC_0111,train,geometry_clash,IfcWall,medium,True,Misaligned clash between IfcWall 'Wall_326' and IfcDoor 'Door_464' (overlap 0.29m),Align door frame with wall opening (snapped +0.29m),Door geometry extends beyond wall thickness. Snapping to opening plane.
SC_0112,train,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Parking' not aggregated into any storey,Aggregate space into storey 'Basement 2',Spaces must belong to a storey for room-based analysis.
SC_0113,train,geometry_clash,IfcWindow,medium,True,Misaligned clash between IfcWindow 'Window_106' and IfcWall 'Wall_414' (overlap 0.57m),Snap window to host wall face (snapped +0.57m),Window placement offset from host wall. Snapping to align.
SC_0114,train,geometry_clash,IfcBeam,medium,False,Soft clash between IfcBeam 'Beam_711' and IfcSlab 'Slab_911' (overlap 0.02m),Adjust beam elevation to sit below slab (dropped by 0.02m),Beam soffit intrudes slab. Elevation drop required.
SC_0115,train,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Meeting Room' not aggregated into any storey,Aggregate space into storey 'Ground Floor',Spaces must belong to a storey for room-based analysis.
SC_0116,train,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Mechanical Room' not aggregated into any storey,Aggregate space into storey 'Ground Floor',Spaces must belong to a storey for room-based analysis.
SC_0117,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Mechanical Room' assigned to 'Level 01' but elevation matches 'Level 02',Reassign space from 'Level 01' to 'Level 02' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0118,train,geometry_clash,IfcWindow,medium,True,Misaligned clash between IfcWindow 'Window_576' and IfcWall 'Wall_212' (overlap 0.71m),Snap window to host wall face (snapped +0.71m),Window placement offset from host wall. Snapping to align.
SC_0119,train,missing_material,IfcSlab,medium,False,IfcSlab has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Gypsum),Material needed for quantity takeoff and analysis. Suggested: Gypsum.
SC_0120,train,broken_spatial_containment,IfcWindow,high,True,IfcWindow 'Window_742' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Mezzanine',Every physical element must be spatially contained for coordination.
SC_0121,train,geometry_clash,IfcPipeSegment,medium,True,Near-miss clash between IfcPipeSegment 'PipeSegment_385' and IfcWall 'Wall_898' (overlap 0.01m),Enlarge wall opening for pipe clearance (expanded by 50mm),Pipe lacks sufficient clearance. Opening expanded by 50mm.
SC_0122,train,broken_spatial_containment,IfcSlab,high,True,IfcSlab 'Slab_595' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Mezzanine',Every physical element must be spatially contained for coordination.
SC_0123,train,geometry_clash,IfcWall,critical,False,Hard clash between IfcWall 'Wall_434' and IfcBeam 'Beam_719' (overlap 0.12m),Cut opening in wall for beam penetration,Beam intersects wall. Opening profile required but needs MEP/Structural coordination.
SC_0124,train,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Kitchen' not aggregated into any storey,Aggregate space into storey 'Roof Level',Spaces must belong to a storey for room-based analysis.
SC_0125,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Corridor' assigned to 'Level 04' but elevation matches 'Mezzanine',Reassign space from 'Level 04' to 'Mezzanine' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0126,train,missing_material,IfcColumn,medium,False,IfcColumn has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Glass),Material needed for quantity takeoff and analysis. Suggested: Glass.
SC_0127,train,missing_material,IfcMember,medium,False,IfcMember has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Masonry),Material needed for quantity takeoff and analysis. Suggested: Masonry.
SC_0128,train,missing_property,IfcRailing,medium,True,IfcRailing is missing 'IsExternal' in Pset_RailingCommon,Add property 'IsExternal' with default value to Pset_RailingCommon,IsExternal is required by IFC schema for IfcRailing. A safe default is applied.
